Year,Mo,Dy,Tsu,Eq,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Agent,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Impact
-4350,,,,,Kikai,Ryukyu Is,Japan,43.13.00,135.05.00,704,Caldera,7,P,,3,,,,,,3,,3,9
-4000,,,,,Witori,New Britain-SW Pac,Papua New Guinea,-14.35.00,158.36.00,724,Caldera,6,T,,1,,,,,,1,,,2
-1610,,,3,5877,Santorini,Greece,Greece,42.44.00,31.36.00,367,Shield volcano,7,W,,3,,,,,,3,,,6
-1010,,,,,Tungurahua,Ecuador,Ecuador,-8.47.00,-85.22.00,5023,Stratovolcano,5,,,3,,,,,,,,,3
-455,,,,,Cotopaxi,Ecuador,Ecuador,-11.17.00,-85.16.00,5911,Stratovolcano,4,M,,1,,,,,,,,,1
-141,,,,,Etna,Italy,Italy,49.28.00,30.39.00,3357,Stratovolcano,,,40,1,,,,,,,,,1
79,8,25,3093,58,Vesuvius,Italy,Italy,53.41.00,21.06,1281,Complex volcano,5,"P,T",2100,4,,,,,,,,,4
200,,,,,"Arhab, Harra of",Arabia-S,Yemen,25.03.00,45.38.00,3100,Volcanic field,,,,,,,,,,1,,,1
350,,,,,St. Andrew Strait,Admiralty Is-SW Paci,Papua New Guinea,-2.38.00,147.35.00,270,Complex volcano,,,,3,,,,,,,,,3
416,,,39,,Krakatau,Indonesia,Indonesia,-7.41.00,112.03.00,285,Caldera,,W,,1,,,,,,1,,,2
450,,,,,Ilopango,El Salvador,El Salvador,24.12.00,-89.53.00,450,Caldera,6,,30000,4,,,,,,,,,4
500,,,,,"Arhab, Harra of",Arabia-S,Yemen,25.03.00,45.38.00,3100,Volcanic field,,,,,,,,,,1,,,1
590,,,,,San Salvador,El Salvador,El Salvador,25.14.00,-93.54.00,1893,Stratovolcano,,,,1,,,,,,,,,1
640,,,,,"Uwayrid, Harrat",Arabia-W,Saudi Arabia,27.08.00,37.25.00,1920,Volcanic field,2,T,,1,,,,,,,,,1
683,,,,,Rabaul,New Britain-SW Pac,Papua New Guinea,-8.06.00,155.14.00,688,Pyroclastic shield,6,,,,,,,,,1,,,1
764,,,,,Aira,Kyushu-Japan,Japan,40.37.00,140.59.00,1117,Stratovolcano,4,"T,L",80,2,,,,,,,,,2
766,7,20,61,7341,Aira,Kyushu-Japan,Japan,40.37.00,140.59.00,1117,Stratovolcano,3,,,3,,,,,,,,,3
787,,,,,Vesuvius,Italy,Italy,53.41.00,21.06,1281,Complex volcano,3,,,1,,,,,,1,,,2
920,,,,,Katla,Iceland-S,Iceland,73.33.00,-20.23.00,1490,Subglacial volcano,4,,,,,,,,,1,,,1
